date,line,total,business_day_mean,saturday_mean,sunday_mean,max
2018-10-01,15,266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266266,12121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212,,2222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222,13131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313
2018-11-01,1,26174000,1145000,611000.0,353000,1198000
2018-11-01,2,13531000,617000,256000.0,172000,647000
2018-11-01,3,28899000,1241000,700000.0,425000,1307000
2018-11-01,15,219000,13000,3000.0,2000,14000
2018-12-01,1,25199000,1059000,644000.0,384000,1181000
2018-12-01,2,12875000,565000,261000.0,186000,628000
2018-12-01,3,28329000,1167000,761000.0,466000,1293000
2018-12-01,15,397000,18000,8000.0,5000,21000
2019-01-01,1,23584000,931000,522000.0,321000,1004000
2019-01-01,2,12656000,515000,224000.0,158000,580000
2019-01-01,3,26236000,1024000,596000.0,385000,1111000
2019-01-01,15,504000,20000,10000.0,6000,25000
2019-02-01,1,25529000,1085000,611000.0,344000,1146000
2019-02-01,2,14089000,612000,280000.0,184000,642000
2019-02-01,3,28116000,118000,698000.0,429000,1241000
2019-02-01,15,606000,27000,12000.0,5000,30000
2019-03-01,1,26734000,1123000,610000.0,337000,1148000
2019-03-01,2,14689000,638000,281000.0,180000,666000
2019-03-01,3,29901000,1221000,724000.0,461000,1257000
2019-03-01,15,767000,34000,14000.0,8000,40000
2019-04-01,1,27542000,1126000,579000.0,318000,1153000
2019-04-01,2,15516000,648000,267000.0,170000,659000
2019-04-01,3,30584000,1227000,704000.0,402000,1256000
2019-04-01,15,856000,36000,15000.0,8000,37000
2019-05-01,1,28416000,1106000,604000.0,331000,1145000
2019-05-01,2,15705000,625000,273000.0,170000,676000
2019-05-01,3,31728000,1216000,729000.0,402000,1254000
2019-05-01,15,1052000,42000,18000.0,10000,46000
2019-06-01,1,23993000,1058000,580000.0,321000,1115000
2019-06-01,2,13279000,602000,261000.0,180000,629000
2019-06-01,3,27103000,1177000,699000.0,367000,1231000
2019-06-01,15,934000,44000,19000.0,11000,46000
2019-07-01,1,24713000,953000,572000.0,325000,977000
2019-07-01,2,13769000,547000,259000.0,169000,572000
2019-07-01,3,28297000,1084000,675000.0,390000,1113000
2019-07-01,15,981000,40000,12000.0,11000,42000
2019-08-01,1,27683000,1071000,578000.0,306000,1105000
2019-08-01,2,15461000,614000,263000.0,161000,634000
2019-08-01,3,31037000,1187000,681000.0,382000,1216000
2019-08-01,15,1139000,46000,15000.0,10000,51000
2019-09-01,1,26549000,1075000,576000.0,335000,1113000
2019-09-01,2,15238000,631000,273000.0,181000,652000
2019-09-01,3,30216000,1212000,693000.0,400000,1261000
2019-09-01,15,1211000,51000,20000.0,13000,53000
2019-10-01,1,29567000,111000,656000.0,384000,1157000
2019-10-01,2,16774000,645000,298000.0,199000,661000
2019-10-01,3,32289000,1212000,729000.0,412000,1261000
2019-10-01,15,1362000,53000,26000.0,12000,55000
2019-11-01,1,26079000,1103000,619000.0,341000,1146000
2019-11-01,2,14864000,647000,297000.0,187000,664000
2019-11-01,3,29347000,1222000,722000.0,409000,1267000
2019-11-01,15,1127000,54000,7000.0,12000,55000
2019-12-01,1,24167000,991000,629000.0,373000,1124000
2019-12-01,2,13662000,577000,288000.0,206000,654000
2019-12-01,3,27625000,1115000,753000.0,451000,1233000
2019-12-01,15,1087000,50000,13000.0,7000,55000
2020-01-01,1,23207000,900000,500000.0,300000,1001000
2020-01-01,2,13642000,542000,236000.0,164000,598000
2020-01-01,3,26292000,1015000,584000.0,343000,1099000
2020-01-01,15,1385000,57000,19000.0,10000,64000
2020-02-01,1,23702000,1048000,606000.0,333000,1107000
2020-02-01,2,13971000,641000,297000.0,204000,678000
2020-02-01,3,26349000,1151000,693000.0,431000,1209000
2020-02-01,15,1454000,68000,36000.0,14000,71000
2020-03-01,1,17319000,679000,337000.0,206000.0,1114000
2020-03-01,2,10608000,423000,176000.0,121000.0,695000
2020-03-01,3,2039000,790000,418000.0,266000.0,1234000
2020-03-01,15,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2020-04-01,1,4839000,198000,109000.0,68000.0,230000
2020-04-01,2,3039000,126000,64000.0,39000.0,136000
2020-04-01,3,6862000,280000,158000.0,98000.0,312000
2020-04-01,15,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2020-05-01,1,5429000,229000,126000.0,74000.0,241000
2020-05-01,2,325000,139000,69000.0,43000.0,145000
2020-05-01,3,7604000,319000,180000.0,106000.0,333000
2020-05-01,15,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2020-06-01,1,7241000,284000,163000.0,85000,319000
2020-06-01,2,3978000,157000,81000.0,47000,175000
2020-06-01,3,9911000,386000,227000.0,128000,425000
2020-06-01,15,405000,16000,7000.0,4000,23000
2020-07-01,1,9406000,354000,224000.0,104000,384000
2020-07-01,2,4984000,191000,100000.0,55000,208000
2020-07-01,3,12544000,469000,298000.0,152000,510000
2020-07-01,15,709000,27000,17000.0,9000,29000
2020-08-01,1,10372000,406000,253000.0,117000,438000
2020-08-01,2,545000,218000,114000.0,61000,229000
2020-08-01,3,13451000,522000,329000.0,169000,565000
2020-08-01,15,799000,31000,20000.0,10000,34000
2020-09-01,1,11428000,453000,294000.0,141000,473000
2020-09-01,2,6002000,244000,130000.0,70000,255000
2020-09-01,3,14531000,573000,373000.0,193000,595000
2020-09-01,15,882000,35000,23000.0,12000,37000
2020-10-01,1,1275000,493000,320000.0,152000,514000
2020-10-01,2,6647000,264000,141000.0,78000,275000
2020-10-01,3,15977000,615000,395000.0,209000,648000
2020-10-01,15,986000,38000,24000.0,13000,41000
2020-11-01,1,12873000,520000,355000.0,176000,545000
2020-11-01,2,6695000,276000,156000.0,90000,286000
2020-11-01,3,1602000,641000,441000.0,239000,681000
2020-11-01,15,1002000,40000,27000.0,15000,43000
2020-12-01,1,12855000,514000,328000.0,173000,557000
2020-12-01,2,6482000,267000,139000.0,81000,288000
2020-12-01,3,16328000,647000,423000.0,235000,719000
2020-12-01,15,1009000,40000,26000.0,14000,44000
